State,Democrats,Republicans,No_Party_Affiliation/Minor,TOTAL,White,Latino,Asian_and_Pacific_Islander,African_American,American_Indian_and_other,Total_Percentage
2020 California Early Votes,5540348,2455280,2583740,10579368,37,39,15,6,3,100
2020 Texas Early Votes,3498713,5150882,1069061,9718648,76,3,5,12,4,100
